"","site","mean_precip","mean_temp"
"1","D01_BART",1070.06843566895,3.93634486198425
"2","D01_HARV",941.373748779297,8.05085563659668
"3","D01_HOPB",947.056198120117,7.90917158126831
"4","D02_BLAN",804.609832763672,12.135591506958
"5","D02_SCBI",807.376480102539,12.3922662734985
"6","D02_SERC",907.396240234375,13.0032167434692
"7","D03_DSNY",1035.13221740723,22.4188919067383
"8","D03_JERC",1105.35502115885,18.7144654591878
"9","D03_OSBS",1105.67420959473,20.5067100524902
"10","D04_CUPE",1817.34298706055,24.7667369842529
"11","D04_GUAN",1625.64880371094,24.1664600372314
"12","D04_GUIL",1935.39779663086,23.8163604736328
"13","D04_LAJA",1342.59613037109,25.3579730987549
"14","D05_CHEQ",696.937713623047,4.24284744262695
"15","D05_LIRO",689.790573120117,3.76783037185669
"16","D05_STEI",667.564010620117,4.3017110824585
"17","D05_UNDE",696.644744873047,3.60177946090698
"18","D06_KONZ",717.663269042969,12.6408634185791
"19","D06_MCDI",722.273025512695,12.6655721664429
"20","D06_UKFS",833.065032958984,13.13134765625
"21","D07_GRSM",1091.06386820475,13.0937258402507
"22","D07_MLBS",905.270462036133,9.85722160339355
"23","D07_ORNL",1173.80981445312,13.1449699401855
"24","D08_DELA",1153.76731872559,17.7972621917725
"25","D08_LENO",1205.88638305664,18.1616687774658
"26","D08_TALL",1137.55302429199,17.4568786621094
"27","D09_NOGP",342.962341308594,5.28412103652954
"28","D09_WOOD",372.904891967773,4.2139630317688
"29","D10_ARIK",338.055419921875,10.0830249786377
"30","D10_CPER",323.731002807617,8.05503082275391
"31","D10_RMNP",394.652290344238,0.472279191017151
"32","D10_STER",361.405868530273,9.67535972595215
"33","D11_BLUE",851.613922119141,16.0056133270264
"34","D11_CLBJ",688.489379882812,17.5448303222656
"35","D11_OAES",557.241630554199,14.8988370895386
"36","D11_PRIN",682.873382568359,17.4288845062256
"37","D12_YELL",441.531829833984,1.88295686244965
"38","D13_MOAB",265.022621154785,10.1453800201416
"39","D13_NIWO",401.961669921875,0.172279059886932
"40","D13_WLOU",372.071838378906,0.606707751750946
"41","D14_JORN",213.158807754517,15.0204310417175
"42","D14_SRER",273.937015533447,19.0512657165527
"43","D15_ONAQ",384.622840881348,8.49767303466797
"44","D15_REDB",376.308670043945,9.82368278503418
"45","D16_ABBY",1453.85009765625,9.8093090057373
"46","D16_MCRA",1490.06652832031,7.17700242996216
"47","D16_WREF",1822.91122436523,7.33220410346985
"48","D17_SJER",596.6455078125,14.8910341262817
"49","D17_SOAP",614.821586608887,12.8012320200602
"50","D17_TEAK",599.143714904785,7.07967090606689
"51","D18_BARR",102.90177822113,-12.1708755493164
"52","D18_OKSR",161.709785461426,-10.7400407791138
"53","D18_TOOL",168.904857635498,-10.2727584838867
"54","D19_BONA",232.845306396484,-5.32778882980347
"55","D19_DEJU",235.882263183594,-3.01581120491028
"56","D19_HEAL",306.432590484619,-4.49712514877319
"57","D20_PUUM",2305.04989624023,21.7312126159668
