site,imperv_class,imperv_freq
D04_LAJA_R1_P1_v6,5,1010
D04_LAJA_R1_P1_v6,10,835
D04_LAJA_R1_P1_v6,15,822
D04_LAJA_R1_P1_v6,20,1095
D04_LAJA_R1_P1_v6,25,1877
D04_LAJA_R1_P1_v6,30,1370
D04_LAJA_R1_P1_v6,35,1001
D04_LAJA_R1_P1_v6,40,888
D04_LAJA_R1_P1_v6,45,741
D04_LAJA_R1_P1_v6,50,634
D04_LAJA_R1_P1_v6,55,608
D04_LAJA_R1_P1_v6,60,569
D04_LAJA_R1_P1_v6,65,459
D04_LAJA_R1_P1_v6,70,358
D04_LAJA_R1_P1_v6,75,200
D04_LAJA_R1_P1_v6,80,97
D04_LAJA_R1_P1_v6,85,50
D04_LAJA_R1_P1_v6,90,24
D04_LAJA_R1_P1_v6,95,22
D04_LAJA_R1_P1_v6,100,2
